Rules qualities:
r1: 0.19986280226376266
r2: 0.5165407658244334
r3: 0.5164105235738473
r4: 0.5221411825996354
r5: 0.5161500390726752
r6: 0.5156290700703308
r7: 0.5218806980984632
r8: 0.504297994269341
r9: 0.5105496222974732
r10: 0.5117218025527481
r11: 0.5113310758009898
r12: 0.5083355040375098
r13: 0.4576507469117494
r14: 0.43424982009837443
r15: 0.4133165553483367
r16: 0.41005255114267436
r17: 0.40989871730108096
r18: 0.41194703703013996
r19: 0.5170617348267779
r20: 0.5169314925761918
r21: 0.49505590372754554
r22: 0.5168012503256056
r23: 0.5168012503256056
r24: 0.5220109403490493
r25: 0.5169314925761918
r26: 0.5168012503256056
r27: 0.434919616101195
r28: 0.5110705912998177
r29: 0.5110705912998177
r30: 0.511591560302162
r31: 0.5085959885386819
r32: 0.48467978324407934
r33: 0.47541726505275633
r34: 0.4555919730827135
r35: 0.42895580796584615
r36: 0.42322431633151997
r37: 0.47874590610740453
r38: 0.47326527312122024
r39: 0.47326527312122024
r40: 0.4695211374888342
r41: 0.46525793629799467
r42: 0.46332685595378664
r43: 0.4568746335411387
r44: 0.42874994948575046
r45: 0.42281487861351824
r46: 0.5079447772857515
r47: 0.40898326159835746
r48: 0.5168012503256056
r49: 0.5162802813232613
r50: 0.40076180081911184
r51: 0.4895314125280994
r52: 0.4847400955338922
r53: 0.4603779963529534
r54: 0.44772267031985163
r55: 0.48317095085513484
r56: 0.46306073563406386
r57: 0.45462996578538983
r58: 0.43164438371864766
r59: 0.5227923938525658
r60: 0.43359120647367183
r61: 0.43602259230328005
r62: 0.42420563510575776
r63: 0.42737172390733075
r64: 0.40874028351345787
r65: 0.5222714248502214
r66: 0.5221411825996354
r67: 0.5229226361031518
r68: 0.504297994269341
r69: 0.44078581636839625
r70: 0.48473934345910275
r71: 0.45523812435613636
r72: 0.45163881829788066
r73: 0.43497321021551677
r74: 0.4254618497591998
r75: 0.4029713429320919
r76: 0.4026479461485637
r77: 0.5233133628549101
r78: 0.40804994161115493
r79: 0.38956014678996
r80: 0.3731474741528501
r81: 0.36175345400675574
r82: 0.34344210217520454
r83: 0.341023981136802
r84: 0.3133081196033265
r85: 0.3119873399081109
r86: 0.5682469393071112
r87: 0.4774124629694271
r88: 0.44856357169882455
r89: 0.44672451934331525
r90: 0.44117829340036424
r91: 0.5695493618129721
r92: 0.4796880215407561
r93: 0.4493240181658256
r94: 0.47166162314300764
r95: 0.4381612353970834
r96: 0.6021099244594946
r97: 0.5071262244278448
r98: 0.6241453732219451
r99: 1.0
r100: 0.4081823155741677
