Rules qualities:
r1: 0.19987652415496218
r2: 0.5121894045944679
r3: 0.47779775820502296
r4: 0.5121894045944679
r5: 0.47779775820502296
r6: 0.5121894045944679
r7: 0.47779775820502296
r8: 0.509142053445851
r9: 0.4737926569241924
r10: 0.485807960766684
r11: 0.485807960766684
r12: 0.4715111785985631
r13: 0.4715111785985631
r14: 0.4486468860436939
r15: 0.4358907160228019
r16: 0.5121894045944679
r17: 0.47779775820502296
r18: 0.5121894045944679
r19: 0.47779775820502296
r20: 0.5121894045944679
r21: 0.47779775820502296
r22: 0.509142053445851
r23: 0.4737926569241924
r24: 0.485807960766684
r25: 0.485807960766684
r26: 0.4715111785985631
r27: 0.4715111785985631
r28: 0.4486468860436939
r29: 0.4358907160228019
r30: 0.4379161049038136
r31: 0.4379161049038136
r32: 0.4119519839571206
r33: 0.5035161744022504
r34: 0.44208479779934556
r35: 0.5121894045944679
r36: 0.47779775820502296
r37: 0.5121894045944679
r38: 0.47779775820502296
r39: 0.5121894045944679
r40: 0.47779775820502296
r41: 0.509142053445851
r42: 0.4737926569241924
r43: 0.485807960766684
r44: 0.485807960766684
r45: 0.4715111785985631
r46: 0.4715111785985631
r47: 0.4486468860436939
r48: 0.4358907160228019
r49: 0.5121894045944679
r50: 0.47779775820502296
r51: 0.5121894045944679
r52: 0.47779775820502296
r53: 0.5121894045944679
r54: 0.47779775820502296
r55: 0.509142053445851
r56: 0.4737926569241924
r57: 0.485807960766684
r58: 0.485807960766684
r59: 0.4715111785985631
r60: 0.4715111785985631
r61: 0.4486468860436939
r62: 0.4358907160228019
r63: 0.4379161049038136
r64: 0.4379161049038136
r65: 0.4119519839571206
r66: 0.5035161744022504
r67: 0.44208479779934556
r68: 0.49854790975686214
r69: 0.4757812109368399
r70: 0.4693110045338994
r71: 0.46818273758284756
r72: 0.521725093363325
r73: 0.5151573492244929
r74: 0.49121124396303273
r75: 0.4773773180487545
r76: 0.451474777286555
r77: 0.4454298393942496
r78: 0.4675685410412983
r79: 0.4656273932553514
r80: 0.45687050062394036
r81: 0.45639506949358355
r82: 0.43831054287851207
r83: 0.4359113516378238
r84: 0.4339088429966251
r85: 0.45710267229254575
r86: 0.4541892706449669
r87: 0.5225035161744023
r88: 0.5225035161744023
